"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"905","ELP","2001-02-07 22:51:00",-106.3758,31.8111,66.02,32,28.01,170,16,NA,29.75,1002.7,7,25,"BKN","OVC","   ",NA,10000,15000,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,66.02,"METAR KELP 072251Z 17016G25KT 7SM VCBLDU BKN100 OVC150 19/00 A2975 RMK AO2 SLP027 T01890000"
"913","ELP","2001-02-08 06:51:00",-106.3758,31.8111,60.08,37.04,42.19,160,8,NA,29.76,1002.6,8,NA,"SCT","BKN","   ",NA,8000,13000,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,60.08,"METAR KELP 080651Z 16008KT 8SM VCBLDU SCT080 BKN130 16/03 A2976 RMK AO2 SLP026 T01560028 402170094"
"927","ELP","2001-02-08 17:51:00",-106.3758,31.8111,57.92,35.96,43.67,260,23,NA,29.71,1001.6,9,31,"FEW","BKN","BKN",NA,3000,6000,10000,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,57.92,"METAR KELP 081751Z 26023G31KT 9SM VCBLDU FEW030CB BKN060 BKN100 14/02 A2971 RMK AO2 SLP016 CB DSNT N-NE PK WND 25031/20 T01440022 10172 20094 53008"
"928","ELP","2001-02-08 18:51:00",-106.3758,31.8111,55.94,33.08,41.82,250,22,NA,29.72,1002.1,10,34,"SCT","SCT","   ",NA,6000,10000,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,55.94,"METAR KELP 081851Z 25022G34KT 10SM VCBLDU SCT060 SCT100 13/01 A2972 RMK AO2 PK WND 26034/1843 SLP021 T01330006"
"929","ELP","2001-02-08 19:51:00",-106.3758,31.8111,53.96,28.04,36.63,260,17,NA,29.72,1002.2,6,32,"FEW","SCT","   ",NA,6000,9000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,53.96,"METAR KELP 081951Z 26017G32KT 6SM BLDU FEW060 SCT090 12/M02 A2972 RMK AO2 PK WND 25032/1946 SLP022 T01221022"
"930","ELP","2001-02-08 20:51:00",-106.3758,31.8111,53.96,12.92,19.26,260,34,NA,29.72,1002,2,45,"FEW","SCT","   ",NA,6000,9000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,53.96,"METAR KELP 082051Z 26034G45KT 2SM BLDU FEW060 SCT090 12/M11 A2972 RMK AO2 PK WND 24045/2050 SLP020 T01221106 50001"
"931","ELP","2001-02-08 21:51:00",-106.3758,31.8111,53.06,10.04,17.51,240,36,NA,29.72,1002.6,1.25,46,"FEW","   ","   ",NA,9000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,53.06,"METAR KELP 082151Z 24036G46KT 1 1/4SM BLDU FEW090 12/M12 A2972 RMK AO2 PK WND 24046/2143 SLP026 VIS 1V2 T01171122"
"932","ELP","2001-02-08 22:51:00",-106.3758,31.8111,50,14,23.37,260,27,NA,29.74,1003.9,3,36,"SCT","   ","   ",NA,9000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,41.88,"METAR KELP 082251Z 26027G36KT 3SM BLDU SCT090 10/M10 A2974 RMK AO2 PK WND 24049/2225 SLP039 T01001100"
"933","ELP","2001-02-08 23:51:00",-106.3758,31.8111,48.02,12.02,23.06,270,26,NA,29.78,1005.1,3,43,"SCT","   ","   ",NA,9000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,39.34,"METAR KELP 082351Z 27026G43KT 3SM BLDU SCT090 09/M11 A2978 RMK AO2 PK WND 25046/2259 SLP051 T00891111 10144 20089 53018"
"934","ELP","2001-02-09 00:51:00",-106.3758,31.8111,44.96,15.08,29.61,270,34,NA,29.81,1006.6,7,45,"FEW","   ","   ",NA,9000,NA,NA,NA,"VCBLDU",NA,NA,NA,50,210,"2001-02-09 00:14",33.93,"METAR KELP 090051Z 27034G45KT 7SM VCBLDU FEW090 07/M09 A2981 RMK AO2 PK WND 21050/0014 SLP066 T00721094"
"1077","ELP","2001-02-14 23:51:00",-106.3758,31.8111,64.04,12.02,12.9,250,23,NA,29.84,1006.1,7,28,"BKN","BKN","   ",NA,15000,25000,NA,NA,"VCBLDU",NA,NA,NA,28,260,"2001-02-14 23:51",64.04,"METAR KELP 142351Z 25023G28KT 7SM VCBLDU BKN150 BKN250 18/M11 A2984 RMK AO2 PK WND 26028/2351 SLP061 T01781111 10183 20139 55007 $"
"1293","ELP","2001-02-23 23:51:00",-106.3758,31.8111,64.04,21.92,19.8,250,20,NA,29.57,996.9,3,25,"SCT","OVC","   ",NA,10000,14000,NA,NA,"BLDU",NA,NA,NA,30,260,"2001-02-23 23:36",64.04,"METAR KELP 232351Z 25020G25KT 3SM BLDU SCT100 OVC140 18/M06 A2957 RMK AO2 PK WND 26030/2336 SLP969 T01781056 10222 20144 56008"
"1294","ELP","2001-02-24 00:51:00",-106.3758,31.8111,62.06,19.94,19.51,260,23,NA,29.58,997.2,2.5,35,"SCT","BKN","   ",NA,10000,14000,NA,NA,"BLDU",NA,NA,NA,35,260,"2001-02-24 00:51",62.06,"METAR KELP 240051Z 26023G35KT 2 1/2SM BLDU SCT100 BKN140 17/M07 A2958 RMK AO2 PK WND 26035/0051 SLP972 T01671067"
"1295","ELP","2001-02-24 01:51:00",-106.3758,31.8111,60.08,17.96,19.23,250,27,NA,29.59,997.9,3,38,"BKN","   ","   ",NA,11000,NA,NA,NA,"BLDU",NA,NA,NA,41,250,"2001-02-24 01:29",60.08,"METAR KELP 240151Z 25027G38KT 3SM BLDU BKN110 16/M08 A2959 RMK AO2 PK WND 25041/0129 SLP979 T01561078"
"1586","ELP","2001-03-08 01:51:00",-106.3758,31.8111,53.96,35.96,50.42,290,18,NA,29.94,1010.5,6,32,"FEW","SCT","BKN",NA,8000,11000,14000,NA,"BLDU",NA,NA,NA,37,270,"2001-03-08 01:09",53.96,"METAR KELP 080151Z 29018G32KT 6SM BLDU FEW080CB SCT110 BKN140 12/02 A2994 RMK AO2 PK WND 27037/0109 PRESRR SLP105 CB DSNT NE T01220022"
"1587","ELP","2001-03-08 02:51:00",-106.3758,31.8111,51.98,35.06,52.32,290,17,NA,29.98,1012,8,25,"FEW","BKN","   ",NA,6000,11000,NA,NA,"VCBLDU",NA,NA,NA,27,330,"2001-03-08 02:00",51.98,"METAR KELP 080251Z 29017G25KT 8SM VCBLDU FEW060CB BKN110 11/02 A2998 RMK AO2 PK WND 33027/0200 SLP120 CB DSNT W-NW T01110017 53045"
"1654","ELP","2001-03-10 21:51:00",-106.3758,31.8111,71.06,15.08,11.59,250,25,NA,29.63,998.6,6,33,"FEW","   ","   ",NA,15000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,68.41,"METAR KELP 102151Z 25025G33KT 6SM BLDU FEW150 22/M09 A2963 RMK AO2 PK WND 24036/2137 SLP986 T02171094"
"1655","ELP","2001-03-10 22:51:00",-106.3758,31.8111,69.08,15.08,12.4,260,26,NA,29.64,999.2,10,35,"SCT","   ","   ",NA,15000,NA,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,69.08,"METAR KELP 102251Z 26026G35KT 10SM VCBLDU SCT150 21/M09 A2964 RMK AO2 PK WND 25039/2221 SLP992 T02061094"
"1656","ELP","2001-03-10 23:51:00",-106.3758,31.8111,66.92,17.96,15.13,250,26,NA,29.64,999.5,10,33,"SCT","   ","   ",NA,15000,NA,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,66.92,"METAR KELP 102351Z 25026G33KT 10SM VCBLDU SCT150 19/M08 A2964 RMK AO2 PK WND 25039/2253 SLP995 T01941078 10222 20161 55005"
"2116","ELP","2001-03-30 03:51:00",-106.3758,31.8111,60.08,39.92,47.22,360,17,NA,29.79,1003.9,5,NA,"FEW","BKN","   ",NA,9000,11000,NA,NA,"BLDU",NA,NA,NA,33,10,"2001-03-30 03:18",60.08,"METAR KELP 300351Z 36017KT 5SM BLDU FEW090 BKN110 16/04 A2979 RMK AO2 SLP039 PK WND 01033/18 T01560044"
"2300","ELP","2001-04-06 18:51:00",-106.3758,31.8111,57.02,41,54.95,280,34,NA,29.81,1004.9,3,45,"BKN","BKN","OVC",NA,4400,6000,14000,NA,"BLDU",NA,NA,NA,45,230,"2001-04-06 18:44",57.02,"METAR KELP 061851Z 28034G45KT 3SM BLDU BKN044 BKN060 OVC140 14/05 A2981 RMK AO2 PK WND 23045/1844 SLP049 T01390050"
"2301","ELP","2001-04-06 19:51:00",-106.3758,31.8111,59,33.08,37.46,250,32,NA,29.87,1006.9,0.25,45,"VV ","   ","   ",NA,600,NA,NA,NA,"-RA BLDU",NA,NA,NA,52,240,"2001-04-06 19:41",59,"METAR KELP 061951Z 25032G45KT 1/4SM -RA BLDU VV006 15/01 A2987 RMK AO2 PK WND 24052/1941 SFC VIS 3/4 RAB1857E07B43 SLP069 P0000 T01500006"
"2302","ELP","2001-04-06 20:51:00",-106.3758,31.8111,60.08,17.06,18.5,250,37,NA,29.89,1007.5,0.25,44,"VV ","   ","   ",NA,500,NA,NA,NA,"DS",NA,NA,NA,53,250,"2001-04-06 20:37",60.08,"METAR KELP 062051Z 25037G44KT 1/4SM DS VV005 16/M08 A2989 RMK AO2 PK WND 25053/2037 SFC VIS 1/2 RAE34 SLP075 P0000 60000 T01561083 51043"
"2303","ELP","2001-04-06 21:51:00",-106.3758,31.8111,60.98,23,23.08,250,26,NA,29.9,1008,1.25,37,"SCT","   ","   ",NA,800,NA,NA,NA,"DS",NA,NA,NA,61,240,"2001-04-06 20:56",60.98,"METAR KELP 062151Z 25026G37KT 1 1/4SM DS SCT008 16/M05 A2990 RMK AO2 PK WND 24061/2056 SFC VIS 2 SLP080 T01611050"
"2350","ELP","2001-04-08 20:51:00",-106.3758,31.8111,80.96,24.08,12.24,240,22,NA,29.9,1006.1,10,28,"CLR","   ","   ",NA,NA,NA,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,78.8,"METAR KELP 082051Z 24022G28KT 10SM VCBLDU CLR 27/M04 A2990 RMK AO2 PK WND 24033/2036 SLP061 VCBLDU SW-N T02721044 58022 $"
"2351","ELP","2001-04-08 21:51:00",-106.3758,31.8111,80.96,26.06,13.29,250,19,NA,29.87,1005.5,2.5,28,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,78.91,"METAR KELP 082151Z 25019G28KT 2 1/2SM BLDU CLR 27/M03 A2987 RMK AO2 PK WND 23028/2145 SLP055 T02721033 $"
"2352","ELP","2001-04-08 22:51:00",-106.3758,31.8111,82.04,26.96,13.32,230,21,NA,29.86,1005.1,5,28,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,79.67,"METAR KELP 082251Z 23021G28KT 5SM BLDU CLR 28/M03 A2986 RMK AO2 PK WND 24030/2218 SLP051 T02781028 $"
"2396","ELP","2001-04-10 18:51:00",-106.3758,31.8111,78.08,23,12.86,200,24,NA,29.6,995.5,2,29,"BKN","BKN","   ",NA,14000,20000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,76.19,"METAR KELP 101851Z 20024G29KT 2SM BLDU BKN140 BKN200 26/M05 A2960 RMK AO2 PK WND 20034/1832 SLP955 T02561050 $"
"2397","ELP","2001-04-10 19:51:00",-106.3758,31.8111,78.08,19.94,11.29,200,30,NA,29.57,994.3,0.25,46,"VV ","   ","   ",NA,500,NA,NA,NA,"+DS",NA,NA,NA,NA,NA,NA,76.12,"METAR KELP 101951Z 20030G46KT 1/4SM +DS VV005 26/M07 A2957 RMK AO2 PK WND 22046/1945 TWR VIS 1/2 SLP943 T02561067"
"2398","ELP","2001-04-10 20:51:00",-106.3758,31.8111,71.96,23,15.77,250,30,NA,29.59,995.8,0.5,43,"VV ","   ","   ",NA,500,NA,NA,NA,"DS",NA,NA,NA,NA,NA,NA,69.6,"METAR KELP 102051Z 25030G43KT 1/2SM DS VV005 22/M05 A2959 RMK AO2 PK WND 21048/2007 SLP958 T02221050 55023"
"2399","ELP","2001-04-10 21:51:00",-106.3758,31.8111,64.04,24.98,22.51,250,35,NA,29.62,997.5,0.5,47,"VV ","   ","   ",NA,500,NA,NA,NA,"DS",NA,NA,NA,NA,NA,NA,64.04,"METAR KELP 102151Z 25035G47KT 1/2SM DS VV005 18/M04 A2962 RMK AO2 PK WND 25049/2137 SLP975 T01781039"
"2400","ELP","2001-04-10 22:51:00",-106.3758,31.8111,64.04,17.96,16.72,250,34,NA,29.62,998,0.12,53,"VV ","   ","   ",NA,500,NA,NA,NA,"+DS",NA,NA,NA,NA,NA,NA,64.04,"METAR KELP 102251Z 25034G53KT 1/8SM +DS VV005 18/M08 A2962 RMK AO2 PK WND 26055/2211 SLP980 T01781078"
"2401","ELP","2001-04-10 23:51:00",-106.3758,31.8111,60.98,17.96,18.63,260,42,NA,29.63,998.6,0.5,56,"VV ","   ","   ",NA,500,NA,NA,NA,"DS",NA,NA,NA,NA,NA,NA,60.98,"METAR KELP 102351Z 26042G56KT 1/2SM DS VV005 16/M08 A2963 RMK AO2 PK WND 27060/2324 SLP986 T01611078 10261 20161 51013"
"2402","ELP","2001-04-11 00:51:00",-106.3758,31.8111,55.04,21.02,26.28,290,28,NA,29.76,1003.6,6,41,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,50,280,"2001-04-10 23:56",55.04,"METAR KELP 110051Z 29028G41KT 6SM BLDU CLR 13/M06 A2976 RMK AO2 PK WND 28050/2356 SLP036 T01281061"
"2554","ELP","2001-04-17 08:51:00",-106.3758,31.8111,64.04,51.08,62.71,30,14,NA,30.15,1014.2,5,17,"FEW","   ","   ",NA,20000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,64.04,"METAR KELP 170851Z 03014G17KT 5SM BLDU FEW200 18/11 A3015 RMK AO2 SLP142 T01780106 50017"
"2639","ELP","2001-04-20 19:51:00",-106.3758,31.8111,82.94,30.92,15.21,250,19,NA,29.91,1005.7,3,25,"FEW","BKN","BKN",NA,12000,15000,25000,NA,"BLDU",NA,NA,NA,34,240,"2001-04-20 19:30",80.35,"METAR KELP 201951Z 25019G25KT 3SM BLDU FEW120 BKN150 BKN250 28/M01 A2991 RMK AO2 SLP057 PK WND 24034/30 T02831006"
"2640","ELP","2001-04-20 20:51:00",-106.3758,31.8111,84.02,30.92,14.69,230,23,NA,29.89,1005,2.5,30,"BKN","BKN","   ",NA,15000,25000,NA,NA,"BLDU",NA,NA,NA,40,250,"2001-04-20 20:35",81.13,"METAR KELP 202051Z 23023G30KT 2 1/2SM BLDU BKN150 BKN250 29/M01 A2989 RMK AO2 PK WND 25040/2035 SLP050 T02891006 56033"
"2641","ELP","2001-04-20 21:51:00",-106.3758,31.8111,84.92,30.92,14.27,240,23,NA,29.86,1004.2,1.25,31,"BKN","BKN","   ",NA,15000,25000,NA,NA,"BLDU",NA,NA,NA,33,230,"2001-04-20 20:52",81.81,"METAR KELP 202151Z 24023G31KT 1 1/4SM BLDU BKN150 BKN250 29/M01 A2986 RMK AO2 PK WND 23033/2052 SLP042 T02941006"
"2642","ELP","2001-04-20 22:51:00",-106.3758,31.8111,82.94,30.92,15.21,230,26,NA,29.85,1003.8,1.5,31,"BKN","BKN","   ",NA,15000,25000,NA,NA,"BLDU",NA,NA,NA,33,230,"2001-04-20 22:00",80.35,"METAR KELP 202251Z 23026G31KT 1 1/2SM BLDU BKN150 BKN250 28/M01 A2985 RMK AO2 PK WND 23033/2200 SLP038 T02831006"
"2643","ELP","2001-04-20 23:51:00",-106.3758,31.8111,82.04,30.02,15.09,230,25,NA,29.85,1004,2,28,"BKN","BKN","   ",NA,15000,25000,NA,NA,"BLDU",NA,NA,NA,31,240,"2001-04-20 22:59",79.71,"METAR KELP 202351Z 23025G28KT 2SM BLDU BKN150 BKN250 28/M01 A2985 RMK AO2 PK WND 24031/2259 SLP040 T02781011 10300 20239 56010"
"2644","ELP","2001-04-21 00:51:00",-106.3758,31.8111,80.06,28.04,14.85,230,20,NA,29.86,1004.3,5,NA,"OVC","   ","   ",NA,15000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,78.46,"METAR KELP 210051Z 23020KT 5SM BLDU OVC150 27/M02 A2986 RMK AO2 PK WND 23033/0013 SLP043 T02671022"
"2664","ELP","2001-04-21 20:51:00",-106.3758,31.8111,89.96,37.04,15.52,220,27,NA,29.77,1000.3,1.75,41,"FEW","BKN","   ",NA,11000,15000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,85.97,"METAR KELP 212051Z 22027G41KT 1 3/4SM BLDU FEW110 BKN150 32/03 A2977 RMK AO2 PK WND 23043/2040 SLP003 T03220028 58046"
"2665","ELP","2001-04-21 21:51:00",-106.3758,31.8111,89.96,39.02,16.78,210,29,NA,29.73,999.2,1.5,34,"FEW","SCT","   ",NA,11000,15000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,86.04,"METAR KELP 212151Z 21029G34KT 1 1/2SM BLDU FEW110 SCT150 32/04 A2973 RMK AO2 PK WND 21044/2136 SLP992 T03220039"
"2666","ELP","2001-04-21 22:51:00",-106.3758,31.8111,87.98,37.94,17.12,220,26,NA,29.71,998.7,3,38,"SCT","SCT","   ",NA,11000,15000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,84.33,"METAR KELP 212251Z 22026G38KT 3SM BLDU SCT110 SCT150 31/03 A2971 RMK AO2 PK WND 23042/2224 SLP987 T03110033"
"2667","ELP","2001-04-21 23:51:00",-106.3758,31.8111,87.08,37.04,17,220,28,NA,29.7,998.8,4,34,"FEW","SCT","   ",NA,11000,15000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,83.57,"METAR KELP 212351Z COR 22028G34KT 4SM BLDU FEW110 SCT150 31/M07 A2970 RMK AO2 PK WND 22038/2259 SLP988 T03060028 10328 20278 56022"
"2668","ELP","2001-04-22 00:51:00",-106.3758,31.8111,87.08,19.04,8.12,220,26,NA,29.7,998.9,3,34,"FEW","SCT","   ",NA,13000,25000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,82.69,"METAR KELP 220051Z 22026G34KT 3SM BLDU FEW130 SCT250 31/M07 A2970 RMK AO2 PK WND 22039/2357 SLP989 T03061072"
"2669","ELP","2001-04-22 01:51:00",-106.3758,31.8111,80.06,15.08,8.58,240,19,NA,29.71,999.3,2,26,"FEW","   ","   ",NA,25000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,77.78,"METAR KELP 220151Z 24019G26KT 2SM BLDU FEW250 27/M09 A2971 RMK AO2 PK WND 23042/0109 SLP993 T02671094"
"2675","ELP","2001-04-22 07:51:00",-106.3758,31.8111,62.96,17.96,17.37,290,23,NA,29.82,1002.7,6,30,"BKN","   ","   ",NA,2000,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,62.96,"METAR KELP 220751Z 29023G30KT 6SM BLDU BKN020 17/M08 A2982 RMK AO2 PK WND 25047/0738 SLP027 T01721078"
"2686","ELP","2001-04-22 18:51:00",-106.3758,31.8111,60.98,19.94,20.27,260,22,NA,30.05,1012.2,7,30,"CLR","   ","   ",NA,NA,NA,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,60.98,"METAR KELP 221851Z 26022G30KT 7SM VCBLDU CLR 16/M07 A3005 RMK AO2 PK WND 27036/1752 SLP122 T01611067"
"2687","ELP","2001-04-22 19:51:00",-106.3758,31.8111,62.96,21.92,20.56,260,20,NA,30.04,1012.5,8,27,"CLR","   ","   ",NA,NA,NA,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,62.96,"METAR KELP 221951Z 26020G27KT 8SM VCBLDU CLR 17/M06 A3004 RMK AO2 PK WND 28033/1923 SLP125 T01721056"
"2761","ELP","2001-04-25 21:51:00",-106.3758,31.8111,71.96,41,32.6,190,17,NA,30.22,1018.3,8,NA,"SCT","OVC","   ",NA,10000,14000,NA,NA,"VCBLDU",NA,NA,NA,28,180,"2001-04-25 21:17",70.39,"METAR KELP 252151Z 19017KT 8SM VCBLDU SCT100 OVC140 22/05 A3022 RMK AO2 PK WND 18028/2117 SLP183 T02220050 $"
"2839","ELP","2001-04-29 03:51:00",-106.3758,31.8111,73.04,42.08,32.77,90,19,NA,29.99,1009.3,7,24,"SCT","   ","   ",NA,11000,NA,NA,NA,"VCBLDU",NA,NA,NA,NA,NA,NA,71.58,"METAR KELP 290351Z 09019G24KT 7SM VCBLDU SCT110 23/06 A2999 RMK AO2 SLP093 T02280056"
"3076","ELP","2001-05-09 00:51:00",-106.3758,31.8111,82.04,44.96,27.17,60,23,NA,30.06,1011.6,3,30,"FEW","SCT","BKN",NA,8000,11000,25000,NA,"BLDU",NA,NA,NA,32,40,"2001-05-09 00:38",80.3,"METAR KELP 090051Z 06023G30KT 3SM BLDU FEW080CB SCT110 BKN250 28/07 A3006 RMK AO2 PK WND 04032/0038 SLP116 CB DSNT NE-SE T02780072"
"3101","ELP","2001-05-10 01:51:00",-106.3758,31.8111,77,41,27.53,20,27,NA,30.04,1010.9,0.5,38,"FEW","BKN","OVC",NA,8000,12000,25000,NA,"VCTS DS",NA,NA,NA,38,10,"2001-05-10 01:48",75.69,"METAR KELP 100151Z 02027G38KT 1/2SM VCTS DS FEW080CB BKN120 OVC250 25/05 A3004 RMK AO2 PRESRR SLP109 TSB06 TS OCNL LTGICCG VC SE-S MOVG SE PK WND 01038/48 T02500050"
"3144","ELP","2001-05-11 21:51:00",-106.3758,31.8111,87.08,35.06,15.72,60,21,NA,29.98,1007.7,3,29,"BKN","BKN","   ",NA,7000,20000,NA,NA,"TS BLDU",NA,NA,NA,40,40,"2001-05-11 21:29",83.53,"METAR KELP 112151Z 06021G29KT 3SM TS BLDU BKN070CB BKN200 31/02 A2998 RMK AO2 PK WND 04040/2129 SLP077 TSB20 TS NE-OHD-SE MOV SE CB DSNT N S VIRGA NE-SE T03060017"
"3151","ELP","2001-05-12 04:51:00",-106.3758,31.8111,73.04,44.96,36.59,60,16,NA,30.15,1013.7,6,24,"BKN","BKN","   ",NA,14000,20000,NA,NA,"BLDU",NA,NA,NA,33,60,"2001-05-12 04:23",71.76,"METAR KELP 120451Z 06016G24KT 6SM BLDU BKN140 BKN200 23/07 A3015 RMK AO2 PK WND 06033/0423 PRESRR SLP137 T02280072"
"3152","ELP","2001-05-12 05:51:00",-106.3758,31.8111,71.06,44.06,37.81,40,14,NA,30.18,1014.7,4,28,"BKN","BKN","   ",NA,14000,20000,NA,NA,"BLDU",NA,NA,NA,28,60,"2001-05-12 05:45",69.64,"METAR KELP 120551Z 04014G28KT 4SM BLDU BKN140 BKN200 22/07 A3018 RMK AO2 PK WND 06028/0545 SLP147 T02170067 10306 20217 51048"
"3556","ELP","2001-05-29 01:51:00",-106.3758,31.8111,93.02,33.08,12.05,240,18,NA,29.77,999.7,2,24,"FEW","SCT","   ",NA,16000,25000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,88.31,"METAR KELP 290151Z 24018G24KT 2SM BLDU FEW160 SCT250 34/01 A2977 RMK AO2 SLP997 T03390006 $"
"3557","ELP","2001-05-29 02:51:00",-106.3758,31.8111,91.04,26.06,9.63,260,16,NA,29.79,1000.2,5,20,"SCT","SCT","   ",NA,16000,25000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,86.05,"METAR KELP 290251Z 26016G20KT 5SM BLDU SCT160 SCT250 33/M03 A2979 RMK AO2 SLP002 T03281033 53011 $"
"3716","ELP","2001-06-04 17:51:00",-106.3758,31.8111,87.98,42.98,20.82,240,20,NA,29.83,1001.7,5,26,"FEW","   ","   ",NA,10000,NA,NA,NA,"BLDU",NA,NA,NA,30,230,"2001-06-04 17:37",84.56,"METAR KELP 041751Z 24020G26KT 5SM BLDU FEW100 31/06 A2983 RMK AO2 PK WND 23030/1737 SLP017 T03110061 10311 20233 58005"
"3717","ELP","2001-06-04 18:51:00",-106.3758,31.8111,89.96,39.02,16.78,230,16,NA,29.81,1000.8,5,NA,"FEW","   ","   ",NA,11000,NA,NA,NA,"BLDU",NA,NA,NA,29,250,"2001-06-04 17:57",86.04,"METAR KELP 041851Z 23016KT 5SM BLDU FEW110 32/04 A2981 RMK AO2 PK WND 25029/1757 SLP008 T03220039"
"3718","ELP","2001-06-04 19:51:00",-106.3758,31.8111,91.04,33.98,13.29,240,15,NA,29.78,1000,6,27,"FEW","   ","   ",NA,11000,NA,NA,NA,"BLDU",NA,NA,NA,28,230,"2001-06-04 19:20",86.82,"METAR KELP 041951Z 24015G27KT 6SM BLDU FEW110 33/01 A2978 RMK AO2 PK WND 23028/1920 SLP000 T03280011"
"3799","ELP","2001-06-08 04:51:00",-106.3758,31.8111,80.96,44.96,28.14,80,20,NA,30.05,1009.4,5,26,"FEW","BKN","OVC",NA,8500,13000,25000,NA,"BLDU",NA,NA,NA,27,90,"2001-06-08 04:36",79.65,"METAR KELP 080451Z 08020G26KT 5SM BLDU FEW085 BKN130 OVC250 27/07 A3005 RMK AO2 PK WND 09027/0436 SLP094 T02720072"
"3802","ELP","2001-06-08 07:51:00",-106.3758,31.8111,78.08,44.96,30.93,330,8,NA,30.04,1008.7,3,17,"SCT","OVC","   ",NA,13000,25000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,77.04,"METAR KELP 080751Z COR 33008G17KT 3SM BLDU SCT130 OVC250 26/07 A3004 RMK AO2 SLP087 T02560072"
"3803","ELP","2001-06-08 08:51:00",-106.3758,31.8111,75.92,46.94,35.81,330,13,NA,30.04,1008.7,6,NA,"FEW","BKN","   ",NA,13000,25000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,74.9,"METAR KELP 080851Z 33013KT 6SM BLDU FEW130 BKN250 24/08 A3004 RMK AO2 SLP087 T02440083 56004"
"3894","ELP","2001-06-12 03:51:00",-106.3758,31.8111,91.04,37.04,15.01,250,22,NA,29.91,1004.3,1.25,28,"FEW","SCT","SCT",NA,14000,18000,25000,NA,"BLDU",NA,NA,NA,28,240,"2001-06-12 03:43",86.9,"METAR KELP 120351Z 25022G28KT 1 1/4SM BLDU FEW140 SCT180 SCT250 33/03 A2991 RMK AO2 PK WND 24028/0343 WSHFT 0333 SLP043 T03280028"
"3895","ELP","2001-06-12 04:51:00",-106.3758,31.8111,87.98,41,19.29,250,21,NA,29.92,1004.5,3,28,"FEW","SCT","SCT",NA,14000,18000,25000,NA,"BLDU",NA,NA,NA,30,250,"2001-06-12 04:41",84.45,"METAR KELP 120451Z 25021G28KT 3SM BLDU FEW140 SCT180 SCT250 31/05 A2992 RMK AO2 PK WND 25030/0441 SLP045 T03110050"
"3931","ELP","2001-06-13 16:51:00",-106.3758,31.8111,82.94,26.96,12.93,230,21,NA,29.84,1002.2,5,25,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,31,230,"2001-06-13 16:17",80.31,"METAR KELP 131651Z 23021G25KT 5SM BLDU CLR 28/M03 A2984 RMK AO2 PK WND 23031/1617 SLP022 T02831028"
"3932","ELP","2001-06-13 17:51:00",-106.3758,31.8111,84.92,30.92,14.27,210,17,NA,29.83,1001.8,4,22,"CLR","   ","   ",NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,30,240,"2001-06-13 17:18",81.81,"METAR KELP 131751Z 21017G22KT 4SM BLDU CLR 29/M01 A2983 RMK AO2 PK WND 24030/1718 SLP018 T02941006 10300 20239 58008"
